Lon,Lat,Clave,Edo,Est,Tmax
-93,17.98,GONTB,TAB,Gonz·lez Tab.,28.92857143
-93.28,18,SAMTB,TAB,Samaria Tab.,27.92
-92.92,17.98,EMUTB,TAB,Villahermosa Muelle Tab.,29.588
-92.81,18.04,EPOTB,TAB,El Porvenir Tab.,28.91666667
-92.82,17.47,TAPTB,TAB,Tapijulapa Tab.,28.39285714
-91.16,17.79,SPTTB,TAB,San Pedro Tab.,30.01666667
-92.93,17.98,OBSTB,TAB,Observatorio de Villa Hermosa Tab.,29.948
-92.65,18.41,PCENTLA,TAB,Pantanos de Centla Tab. SMN*,30.01785714
-92.65,18.51,FRONTERA,TAB,Frontera Tres Brazos Tab. SGT*,28.74444444
-93.33,18.42,PARAISO,TAB,ParaÌso Tab. SMN*,28.7037037
-99.27,24.02,STETP,TAMPS,Santa Engracia Tamps.,25.54137931
-99.55,24.57,VSMTP,TAMPS,Victoria-San Marcos Tamps.,25.1137931
-99.15,23.05,GOMEZFARIAS,TAMPS,Gomez Farias Tamps. SGT*,24.82272727
-97.88,22.24,TMPTP,TAMPS,Tampico Tamps.,25.09615385
-97.84,22.28,MDRTP,TAMPS,Madero Tamps.,23.54545455
-97.93,22.39,BALTP,TAMPS,Bombas Altamira Tamps.,26.20833333
-98.42,22.42,TMSTP,TAMPS,TamesÌ Tamps.,25.8137931
-98.69,22.6,ERCTP,TAMPS,Estudiante Ramiro Caballero Dorantes Tamps.,25.46666667
-98.87,22.78,SDATP,TAMPS,Saca de Agua Tamps.,26.54666667
-98.71,22.8,MGSTP,TAMPS,MagiscatzÌn Dos Tamps.,25.36785714
-99.12,22.83,LSRTP,TAMPS,La Servilleta Tamps.,27.91666667
-99,22.85,RFRTP,TAMPS,RÌo FrÌo Tamps.,27.96428571
-98.79,22.94,SLZTP,TAMPS,Lic. Emilio Portes Gil Tamps.,23.01333333
-99.09,23.02,SBNTP,TAMPS,Sabinas Tamps.,28.02
-97.77,23.05,BTORDO,TAMPS,Barra del Tordo Tamps. SMN*,23.67916667
-98.79,23.08,SGBTP,TAMPS,San Gabriel Tamps.,26.15
-97.99,23.26,RSPTP,TAMPS,Rep˙blica EspaÒola Tamps.,24.68518519
-99.08,23.38,ENNTP,TAMPS,La Encantada Tamps.,24.75357143
-99.17,23.72,CVCTP,TAMPS,Observatorio de Ciudad Victoria Tamps.,27.01
-98.75,23.73,PDMTP,TAMPS,Paso de Molina Tamps.,26.78928571
-98.21,23.77,SLMTP,TAMPS,Soto la Marina Tamps.,27.04666667
-98.67,23.96,VGRTP,TAMPS,Vicente Guerrero Tamps.,26.62068966
-98.9,24.05,PADTP,TAMPS,Padilla Tamps.,26.02666667
